Item,Category,Quarter,FinancialYear,Value,Period Type
Domestic Cargo (MMT),Volumes,Q1,2021-22,84.36,Quarter
International Cargo (MMT),Volumes,Q1,2021-22,0,Quarter
Total Cargo (MMT),Volumes,Q1,2021-22,84.36,Quarter
Port Operating Revenue,Revenue,Q1,2021-22,3483.85,Quarter
Dredging ,Revenue,Q1,2021-22,166.92,Quarter
Trading in APTPL,Revenue,Q1,2021-22,0,Quarter
SRCPL,Revenue,Q1,2021-22,114.48,Quarter
SEIS,Revenue,Q1,2021-22,0,Quarter
Port Revenue,Revenue,Q1,2021-22,3765.25,Quarter
Logistic including AALL,Revenue,Q1,2021-22,268.11,Quarter
International Operations,Revenue,Q1,2021-22,142.99,Quarter
Port Development and SEZ,Revenue,Q1,2021-22,740.98,Quarter
Others (KAPL),Revenue,Q1,2021-22,65.97,Quarter
Total Revenue,,Q1,2021-22,4983.3,Quarter
Operating Revenue per MMT,,Q1,2021-22,412.99,Quarter
Operating Revenue per MMT Market,,Q1,2021-22,446.35,Quarter
Port Operating Expenses,Operating Expenses,Q1,2021-22,697.88,Quarter
Dredging Expenses,Operating Expenses,Q1,2021-22,88.17,Quarter
SRCPL Expenses,Operating Expenses,Q1,2021-22,8.26,Quarter
Logistic including AALL Operating Expenses,Operating Expenses,Q1,2021-22,185.04,Quarter
International Operations Expenses,Operating Expenses,Q1,2021-22,56.97,Quarter
Port Development and SEZ,Operating Expenses,Q1,2021-22,588.75,Quarter
Others (KAPL),Operating Expenses,Q1,2021-22,28,Quarter
Total Operating Expenses,,Q1,2021-22,195.48,Quarter
Operating Expenses per MMT,,Q1,2021-22,82.73,Quarter
Port Employee Costs,Employee Costs,Q1,2021-22,134.6,Quarter
Logistic including AALL,Employee Costs,Q1,2021-22,11.47,Quarter
International Operations,Employee Costs,Q1,2021-22,47.61,Quarter
Others (KAPL),Employee Costs,Q1,2021-22,1.8,Quarter
Total Employee Costs,,Q1,2021-22,195.48,Quarter
Port Admin Expenses,Admin Expenses ,Q1,2021-22,169.39,Quarter
Logistic including AALL,Admin Expenses ,Q1,2021-22,10.03,Quarter
International Operations,Admin Expenses ,Q1,2021-22,24.52,Quarter
Port Development and SEZ,Admin Expenses ,Q1,2021-22,0,Quarter
Others (KAPL),Admin Expenses ,Q1,2021-22,0,Quarter
One Time ,Admin Expenses ,Q1,2021-22,210.11,Quarter
Total Admin Expenses,,Q1,2021-22,414.05,Quarter
Total  EBIDTA ,,Q1,2021-22,2720.7,Quarter
EBITDA %,,Q1,2021-22,0.59,Quarter
Port EBITDA,,Q1,2021-22,2666.95,Quarter
Margin %,,Q1,2021-22,0.71,Quarter
Domestic Ports EBITDA per MMT,,Q1,2021-22,229.03,Quarter
Other Income,Income,Q1,2021-22,35.99,Quarter
Finance Cost (Net),,Q1,2021-22,199.12,Quarter
Foreign Exch (Gain)/Loss ,,Q1,2021-22,388.66,Quarter
Depreciation,,Q1,2021-22,768.46,Quarter
PBT Before Exceptional & Share of JV,,Q1,2021-22,1400.45,Quarter
Share from JV and associates ,,Q1,2021-22,-4.32,Quarter
Profit Before Tax,,Q1,2021-22,1396.13,Quarter
Exceptional Item ,,Q1,2021-22,0,Quarter
Profit Before Tax,,Q1,2021-22,1396.13,Quarter
Current Tax ,,Q1,2021-22,280.5,Quarter
Deferred tax ,,Q1,2021-22,-140.44,Quarter
Reversal of MAT Credit -adoption of new tax regime,,Q1,2021-22,0,Quarter
Total Tax ,,Q1,2021-22,140.06,Quarter
Profit for the year ,,Q1,2021-22,1256.07,Quarter
Port EBITDA Breakup,EBITDA Break Up,Q1,2021-22,2666.95,Quarter
Logistics,EBITDA Break Up,Q1,2021-22,61.57,Quarter
International Operations,EBITDA Break Up,Q1,2021-22,13.89,Quarter
Port Development and SEZ,EBITDA Break Up,Q1,2021-22,152.23,Quarter
Others (KAPL),EBITDA Break Up,Q1,2021-22,36.17,Quarter
One time  ,EBITDA Break Up,Q1,2021-22,-210.11,Quarter
Total EBIDTA without forex ,EBITDA Break Up,Q1,2021-22,2720.7,Quarter
Total EBIDTA  & One time ,EBITDA Break Up,Q1,2021-22,2930.81,Quarter
Port EBITDA Margin Breakup,EBITDA Margin Breakup,Q1,2021-22,0.71,Quarter
Logistics,EBITDA Margin Breakup,Q1,2021-22,0.23,Quarter
International Operations,EBITDA Margin Breakup,Q1,2021-22,0.1,Quarter
Port Development and SEZ,EBITDA Margin Breakup,Q1,2021-22,0.21,Quarter
Others (KAPL),EBITDA Margin Breakup,Q1,2021-22,0.55,Quarter
Domestic Cargo (MMT),Volumes,Q1,2022-23,90.89,Quarter
International Cargo (MMT),Volumes,Q1,2022-23,0,Quarter
Total Cargo (MMT),Volumes,Q1,2022-23,90.89,Quarter
Port Operating Revenue,Revenue,Q1,2022-23,4248.75,Quarter
Dredging ,Revenue,Q1,2022-23,152.2,Quarter
Trading in APTPL,Revenue,Q1,2022-23,0,Quarter
SRCPL,Revenue,Q1,2022-23,108.71,Quarter
SEIS,Revenue,Q1,2022-23,0,Quarter
Port Revenue,Revenue,Q1,2022-23,4509.66,Quarter
Logistic including AALL,Revenue,Q1,2022-23,360.49,Quarter
International Operations,Revenue,Q1,2022-23,152.78,Quarter
Port Development and SEZ,Revenue,Q1,2022-23,16.46,Quarter
Others (KAPL),Revenue,Q1,2022-23,18.7,Quarter
Total Revenue,,Q1,2022-23,5058.09,Quarter
Operating Revenue per MMT,,Q1,2022-23,467.46,Quarter
Operating Revenue per MMT Market,,Q1,2022-23,496.17,Quarter
Port Operating Expenses,Operating Expenses,Q1,2022-23,898.03,Quarter
Dredging Expenses,Operating Expenses,Q1,2022-23,52.56,Quarter
SRCPL Expenses,Operating Expenses,Q1,2022-23,9.53,Quarter
Logistic including AALL Operating Expenses,Operating Expenses,Q1,2022-23,228.1,Quarter
International Operations Expenses,Operating Expenses,Q1,2022-23,59.56,Quarter
Port Development and SEZ,Operating Expenses,Q1,2022-23,10,Quarter
Others (KAPL),Operating Expenses,Q1,2022-23,6.51,Quarter
Total Operating Expenses,,Q1,2022-23,265.5,Quarter
Operating Expenses per MMT,,Q1,2022-23,98.8,Quarter
Port Employee Costs,Employee Costs,Q1,2022-23,195.12,Quarter
Logistic including AALL,Employee Costs,Q1,2022-23,22.21,Quarter
International Operations,Employee Costs,Q1,2022-23,45.64,Quarter
Others (KAPL),Employee Costs,Q1,2022-23,2.53,Quarter
Total Employee Costs,,Q1,2022-23,265.5,Quarter
Port Admin Expenses,Admin Expenses ,Q1,2022-23,184.74,Quarter
Logistic including AALL,Admin Expenses ,Q1,2022-23,14.13,Quarter
International Operations,Admin Expenses ,Q1,2022-23,33.47,Quarter
Port Development and SEZ,Admin Expenses ,Q1,2022-23,0,Quarter
Others (KAPL),Admin Expenses ,Q1,2022-23,,Quarter
One Time ,Admin Expenses ,Q1,2022-23,0,Quarter
Total Admin Expenses,,Q1,2022-23,237.82,Quarter
Total  EBIDTA ,,Q1,2022-23,3290.48,Quarter
EBITDA %,,Q1,2022-23,0.65,Quarter
Port EBITDA,,Q1,2022-23,3169.68,Quarter
Margin %,,Q1,2022-23,0.7,Quarter
Domestic Ports EBITDA per MMT,,Q1,2022-23,229.03,Quarter
Other Income,Income,Q1,2022-23,49.5,Quarter
Finance Cost (Net),,Q1,2022-23,210.55,Quarter
Foreign Exch (Gain)/Loss ,,Q1,2022-23,1201.14,Quarter
Depreciation,,Q1,2022-23,840.42,Quarter
PBT Before Exceptional & Share of JV,,Q1,2022-23,1087.87,Quarter
Share from JV and associates ,,Q1,2022-23,17.5,Quarter
Profit Before Tax,,Q1,2022-23,1105.37,Quarter
Exceptional Item ,,Q1,2022-23,0,Quarter
Profit Before Tax,,Q1,2022-23,1105.37,Quarter
Current Tax ,,Q1,2022-23,28.86,Quarter
Deferred tax ,,Q1,2022-23,-100.95,Quarter
Reversal of MAT Credit -adoption of new tax regime,,Q1,2022-23,0,Quarter
Total Tax ,,Q1,2022-23,-72.09,Quarter
Profit for the year ,,Q1,2022-23,1177.46,Quarter
Port EBITDA Breakup,EBITDA Break Up,Q1,2022-23,3169.68,Quarter
Logistics,EBITDA Break Up,Q1,2022-23,96.05,Quarter
International Operations,EBITDA Break Up,Q1,2022-23,14.11,Quarter
Port Development and SEZ,EBITDA Break Up,Q1,2022-23,6.46,Quarter
Others (KAPL),EBITDA Break Up,Q1,2022-23,9.66,Quarter
One time  ,EBITDA Break Up,Q1,2022-23,0,Quarter
Total EBIDTA without forex ,EBITDA Break Up,Q1,2022-23,3295.96,Quarter
Total EBIDTA  & One time ,EBITDA Break Up,Q1,2022-23,3295.96,Quarter
Port EBITDA Margin Breakup,EBITDA Margin Breakup,Q1,2022-23,0.7,Quarter
Logistics,EBITDA Margin Breakup,Q1,2022-23,0.27,Quarter
International Operations,EBITDA Margin Breakup,Q1,2022-23,0.09,Quarter
Port Development and SEZ,EBITDA Margin Breakup,Q1,2022-23,0.39,Quarter
Others (KAPL),EBITDA Margin Breakup,Q1,2022-23,0.52,Quarter
Domestic Cargo (MMT),Volumes,Q1,2023-24,98.13,Quarter
International Cargo (MMT),Volumes,Q1,2023-24,3.24,Quarter
Total Cargo (MMT),Volumes,Q1,2023-24,101.37,Quarter
Port Operating Revenue,Revenue,Q1,2023-24,4693.2,Quarter
Dredging ,Revenue,Q1,2023-24,129.37,Quarter
Trading in APTPL,Revenue,Q1,2023-24,0,Quarter
SRCPL,Revenue,Q1,2023-24,88.44,Quarter
SEIS,Revenue,Q1,2023-24,0,Quarter
Port Revenue,Revenue,Q1,2023-24,4911.01,Quarter
Logistic including AALL,Revenue,Q1,2023-24,507.15,Quarter
International Operations,Revenue,Q1,2023-24,759.61,Quarter
Port Development and SEZ,Revenue,Q1,2023-24,48.67,Quarter
Others (KAPL),Revenue,Q1,2023-24,21.11,Quarter
Total Revenue,,Q1,2023-24,6247.55,Quarter
Operating Revenue per MMT,,Q1,2023-24,478.26,Quarter
Operating Revenue per MMT Market,,Q1,2023-24,500.46,Quarter
Port Operating Expenses,Operating Expenses,Q1,2023-24,928.24,Quarter
Dredging Expenses,Operating Expenses,Q1,2023-24,45,Quarter
SRCPL Expenses,Operating Expenses,Q1,2023-24,4.98,Quarter
Logistic including AALL Operating Expenses,Operating Expenses,Q1,2023-24,327.63,Quarter
International Operations Expenses,Operating Expenses,Q1,2023-24,271.13,Quarter
Port Development and SEZ,Operating Expenses,Q1,2023-24,43.75,Quarter
Others (KAPL),Operating Expenses,Q1,2023-24,5.85,Quarter
Total Operating Expenses,,Q1,2023-24,501.53,Quarter
Operating Expenses per MMT,,Q1,2023-24,94.59,Quarter
Port Employee Costs,Employee Costs,Q1,2023-24,184,Quarter
Logistic including AALL,Employee Costs,Q1,2023-24,19.04,Quarter
International Operations,Employee Costs,Q1,2023-24,294.98,Quarter
Others (KAPL),Employee Costs,Q1,2023-24,3.51,Quarter
Total Employee Costs,,Q1,2023-24,501.53,Quarter
Port Admin Expenses,Admin Expenses ,Q1,2023-24,225.22,Quarter
Logistic including AALL,Admin Expenses ,Q1,2023-24,18.05,Quarter
International Operations,Admin Expenses ,Q1,2023-24,114.45,Quarter
Port Development and SEZ,Admin Expenses ,Q1,2023-24,0,Quarter
Others (KAPL),Admin Expenses ,Q1,2023-24,8.07,Quarter
One Time ,Admin Expenses ,Q1,2023-24,0,Quarter
Total Admin Expenses,,Q1,2023-24,365.79,Quarter
Total  EBIDTA ,,Q1,2023-24,3753.65,Quarter
EBITDA %,,Q1,2023-24,0.6,Quarter
Port EBITDA,,Q1,2023-24,3523.57,Quarter
Margin %,,Q1,2023-24,0.72,Quarter
Domestic Ports EBITDA per MMT,,Q1,2023-24,359.07,Quarter
Other Income,Income,Q1,2023-24,126.94,Quarter
Finance Cost (Net),,Q1,2023-24,375.95,Quarter
Foreign Exch (Gain)/Loss ,,Q1,2023-24,-10.93,Quarter
Depreciation,,Q1,2023-24,949.58,Quarter
PBT Before Exceptional & Share of JV,,Q1,2023-24,2565.99,Quarter
Share from JV and associates ,,Q1,2023-24,-75.25,Quarter
Profit Before Tax,,Q1,2023-24,2490.74,Quarter
Exceptional Item ,,Q1,2023-24,0,Quarter
Profit Before Tax,,Q1,2023-24,2490.74,Quarter
Current Tax ,,Q1,2023-24,269.3,Quarter
Deferred tax ,,Q1,2023-24,102.06,Quarter
Reversal of MAT Credit -adoption of new tax regime,,Q1,2023-24,0,Quarter
Total Tax ,,Q1,2023-24,371.36,Quarter
Profit for the year ,,Q1,2023-24,2119.38,Quarter
Port EBITDA Breakup,EBITDA Break Up,Q1,2023-24,3523.57,Quarter
Logistics,EBITDA Break Up,Q1,2023-24,142.43,Quarter
International Operations,EBITDA Break Up,Q1,2023-24,79.05,Quarter
Port Development and SEZ,EBITDA Break Up,Q1,2023-24,4.92,Quarter
Others (KAPL),EBITDA Break Up,Q1,2023-24,3.68,Quarter
One time  ,EBITDA Break Up,Q1,2023-24,0,Quarter
Total EBIDTA without forex ,EBITDA Break Up,Q1,2023-24,3753.65,Quarter
Total EBIDTA  & One time ,EBITDA Break Up,Q1,2023-24,3753.65,Quarter
Port EBITDA Margin Breakup,EBITDA Margin Breakup,Q1,2023-24,0.72,Quarter
Logistics,EBITDA Margin Breakup,Q1,2023-24,0.28,Quarter
International Operations,EBITDA Margin Breakup,Q1,2023-24,0.1,Quarter
Port Development and SEZ,EBITDA Margin Breakup,Q1,2023-24,0.1,Quarter
Others (KAPL),EBITDA Margin Breakup,Q1,2023-24,0.17,Quarter
Domestic Cargo (MMT),Volumes,Q1,2024-25,106.76,Quarter
International Cargo (MMT),Volumes,Q1,2024-25,2.23,Quarter
Total Cargo (MMT),Volumes,Q1,2024-25,108.99,Quarter
Port Operating Revenue,Revenue,Q1,2024-25,5355.37,Quarter
Dredging ,Revenue,Q1,2024-25,82.4,Quarter
Trading in APTPL,Revenue,Q1,2024-25,0,Quarter
SRCPL,Revenue,Q1,2024-25,98.44,Quarter
SEIS,Revenue,Q1,2024-25,0,Quarter
Port Revenue,Revenue,Q1,2024-25,5536.21,Quarter
Logistic including AALL,Revenue,Q1,2024-25,570.99,Quarter
International Operations,Revenue,Q1,2024-25,825.18,Quarter
Port Development and SEZ,Revenue,Q1,2024-25,627.21,Quarter
Others (KAPL),Revenue,Q1,2024-25,0,Quarter
Total Revenue,,Q1,2024-25,7559.59,Quarter
Operating Revenue per MMT,,Q1,2024-25,501.63,Quarter
Operating Revenue per MMT Market,,Q1,2024-25,518.57,Quarter
Port Operating Expenses,Operating Expenses,Q1,2024-25,1045.32,Quarter
Dredging Expenses,Operating Expenses,Q1,2024-25,45.32,Quarter
SRCPL Expenses,Operating Expenses,Q1,2024-25,5.44,Quarter
Logistic including AALL Operating Expenses,Operating Expenses,Q1,2024-25,379.98,Quarter
International Operations Expenses,Operating Expenses,Q1,2024-25,390.51,Quarter
Port Development and SEZ,Operating Expenses,Q1,2024-25,0,Quarter
Others (KAPL),Operating Expenses,Q1,2024-25,0,Quarter
Total Operating Expenses,,Q1,2024-25,469.27,Quarter
Operating Expenses per MMT,,Q1,2024-25,97.91,Quarter
Port Employee Costs,Employee Costs,Q1,2024-25,187.09,Quarter
Logistic including AALL,Employee Costs,Q1,2024-25,25.61,Quarter
International Operations,Employee Costs,Q1,2024-25,256.57,Quarter
Others (KAPL),Employee Costs,Q1,2024-25,0,Quarter
Total Employee Costs,,Q1,2024-25,469.27,Quarter
Port Admin Expenses,Admin Expenses ,Q1,2024-25,263.38,Quarter
Logistic including AALL,Admin Expenses ,Q1,2024-25,21.25,Quarter
International Operations,Admin Expenses ,Q1,2024-25,91.37,Quarter
Port Development and SEZ,Admin Expenses ,Q1,2024-25,0,Quarter
Others (KAPL),Admin Expenses ,Q1,2024-25,0,Quarter
One Time ,Admin Expenses ,Q1,2024-25,0,Quarter
Total Admin Expenses,,Q1,2024-25,376,Quarter
Total  EBIDTA ,,Q1,2024-25,4847.75,Quarter
EBITDA %,,Q1,2024-25,0.64,Quarter
Port EBITDA,,Q1,2024-25,3989.66,Quarter
Margin %,,Q1,2024-25,0.72,Quarter
Domestic Ports EBITDA per MMT,,Q1,2024-25,373.7,Quarter
Other Income,Income,Q1,2024-25,313.69,Quarter
Finance Cost (Net),,Q1,2024-25,303.16,Quarter
Foreign Exch (Gain)/Loss ,,Q1,2024-25,31.17,Quarter
Depreciation,,Q1,2024-25,1011.87,Quarter
PBT Before Exceptional & Share of JV,,Q1,2024-25,3815.24,Quarter
Share from JV and associates ,,Q1,2024-25,-77.16,Quarter
Profit Before Tax,,Q1,2024-25,3738.08,Quarter
Exceptional Item ,,Q1,2024-25,-145.43,Quarter
Profit Before Tax,,Q1,2024-25,3592.65,Quarter
Current Tax ,,Q1,2024-25,527.99,Quarter
Deferred tax ,,Q1,2024-25,-42.57,Quarter
Reversal of MAT Credit -adoption of new tax regime,,Q1,2024-25,0,Quarter
Total Tax ,,Q1,2024-25,485.42,Quarter
Profit for the year ,,Q1,2024-25,3107.23,Quarter
Port EBITDA Breakup,EBITDA Break Up,Q1,2024-25,3989.66,Quarter
Logistics,EBITDA Break Up,Q1,2024-25,144.15,Quarter
International Operations,EBITDA Break Up,Q1,2024-25,86.73,Quarter
Port Development and SEZ,EBITDA Break Up,Q1,2024-25,627.21,Quarter
Others (KAPL),EBITDA Break Up,Q1,2024-25,0,Quarter
One time  ,EBITDA Break Up,Q1,2024-25,0,Quarter
Total EBIDTA without forex ,EBITDA Break Up,Q1,2024-25,4847.75,Quarter
Total EBIDTA  & One time ,EBITDA Break Up,Q1,2024-25,4847.75,Quarter
Port EBITDA Margin Breakup,EBITDA Margin Breakup,Q1,2024-25,0.72,Quarter
Logistics,EBITDA Margin Breakup,Q1,2024-25,0.25,Quarter
International Operations,EBITDA Margin Breakup,Q1,2024-25,0.11,Quarter
Port Development and SEZ,EBITDA Margin Breakup,Q1,2024-25,1,Quarter
Others (KAPL),EBITDA Margin Breakup,Q1,2024-25,0,Quarter
Domestic Cargo (MMT),Volumes,Q2,2021-22,75.54,Quarter
International Cargo (MMT),Volumes,Q2,2021-22,0,Quarter
Total Cargo (MMT),Volumes,Q2,2021-22,75.54,Quarter
Port Operating Revenue,Revenue,Q2,2021-22,3176.56,Quarter
Dredging ,Revenue,Q2,2021-22,133.35,Quarter
Trading in APTPL,Revenue,Q2,2021-22,0,Quarter
SRCPL,Revenue,Q2,2021-22,88.38,Quarter
SEIS,Revenue,Q2,2021-22,0,Quarter
Port Revenue,Revenue,Q2,2021-22,3398.29,Quarter
Logistic including AALL,Revenue,Q2,2021-22,277.4,Quarter
International Operations,Revenue,Q2,2021-22,159.67,Quarter
Port Development and SEZ,Revenue,Q2,2021-22,24.56,Quarter
Others (KAPL),Revenue,Q2,2021-22,63.02,Quarter
Total Revenue,,Q2,2021-22,3922.94,Quarter
Operating Revenue per MMT,,Q2,2021-22,420.51,Quarter
Operating Revenue per MMT Market,,Q2,2021-22,449.87,Quarter
Port Operating Expenses,Operating Expenses,Q2,2021-22,665.29,Quarter
Dredging Expenses,Operating Expenses,Q2,2021-22,58,Quarter
SRCPL Expenses,Operating Expenses,Q2,2021-22,6.28,Quarter
Logistic including AALL Operating Expenses,Operating Expenses,Q2,2021-22,182.39,Quarter
International Operations Expenses,Operating Expenses,Q2,2021-22,72.19,Quarter
Port Development and SEZ,Operating Expenses,Q2,2021-22,6.33,Quarter
Others (KAPL),Operating Expenses,Q2,2021-22,48.33,Quarter
Total Operating Expenses,,Q2,2021-22,199,Quarter
Operating Expenses per MMT,,Q2,2021-22,88.07,Quarter
Port Employee Costs,Employee Costs,Q2,2021-22,133.87,Quarter
Logistic including AALL,Employee Costs,Q2,2021-22,12.42,Quarter
International Operations,Employee Costs,Q2,2021-22,49.12,Quarter
Others (KAPL),Employee Costs,Q2,2021-22,3.59,Quarter
Total Employee Costs,,Q2,2021-22,199,Quarter
Port Admin Expenses,Admin Expenses ,Q2,2021-22,156.23,Quarter
Logistic including AALL,Admin Expenses ,Q2,2021-22,9.49,Quarter
International Operations,Admin Expenses ,Q2,2021-22,25.33,Quarter
Port Development and SEZ,Admin Expenses ,Q2,2021-22,0,Quarter
Others (KAPL),Admin Expenses ,Q2,2021-22,11.1,Quarter
One Time ,Admin Expenses ,Q2,2021-22,0,Quarter
Total Admin Expenses,,Q2,2021-22,202.15,Quarter
Total  EBIDTA ,,Q2,2021-22,2482.98,Quarter
EBITDA %,,Q2,2021-22,0.63,Quarter
Port EBITDA,,Q2,2021-22,2378.62,Quarter
Margin %,,Q2,2021-22,0.7,Quarter
Domestic Ports EBITDA per MMT,,Q2,2021-22,229.03,Quarter
Other Income,Income,Q2,2021-22,49.5,Quarter
Finance Cost (Net),,Q2,2021-22,129.09,Quarter
Foreign Exch (Gain)/Loss ,,Q2,2021-22,-53.21,Quarter
Depreciation,,Q2,2021-22,782.73,Quarter
PBT Before Exceptional & Share of JV,,Q2,2021-22,1673.86,Quarter
Share from JV and associates ,,Q2,2021-22,-3.48,Quarter
Profit Before Tax,,Q2,2021-22,1670.38,Quarter
Exceptional Item ,,Q2,2021-22,-405.19,Quarter
Profit Before Tax,,Q2,2021-22,1265.19,Quarter
Current Tax ,,Q2,2021-22,243.24,Quarter
Deferred tax ,,Q2,2021-22,-28.28,Quarter
Reversal of MAT Credit -adoption of new tax regime,,Q2,2021-22,0,Quarter
Total Tax ,,Q2,2021-22,214.96,Quarter
Profit for the year ,,Q2,2021-22,1050.23,Quarter
Port EBITDA Breakup,EBITDA Break Up,Q2,2021-22,2378.62,Quarter
Logistics,EBITDA Break Up,Q2,2021-22,73.1,Quarter
International Operations,EBITDA Break Up,Q2,2021-22,13.03,Quarter
Port Development and SEZ,EBITDA Break Up,Q2,2021-22,18.23,Quarter
Others (KAPL),EBITDA Break Up,Q2,2021-22,0,Quarter
One time  ,EBITDA Break Up,Q2,2021-22,0,Quarter
Total EBIDTA without forex ,EBITDA Break Up,Q2,2021-22,2482.98,Quarter
Total EBIDTA  & One time ,EBITDA Break Up,Q2,2021-22,2482.98,Quarter
Port EBITDA Margin Breakup,EBITDA Margin Breakup,Q2,2021-22,0.7,Quarter
Logistics,EBITDA Margin Breakup,Q2,2021-22,0.26,Quarter
International Operations,EBITDA Margin Breakup,Q2,2021-22,0.08,Quarter
Port Development and SEZ,EBITDA Margin Breakup,Q2,2021-22,0.74,Quarter
Others (KAPL),EBITDA Margin Breakup,Q2,2021-22,0,Quarter
Domestic Cargo (MMT),Volumes,Q2,2022-23,86.58,Quarter
International Cargo (MMT),Volumes,Q2,2022-23,0,Quarter
Total Cargo (MMT),Volumes,Q2,2022-23,86.58,Quarter
Port Operating Revenue,Revenue,Q2,2022-23,4263.31,Quarter
Dredging ,Revenue,Q2,2022-23,140.25,Quarter
Trading in APTPL,Revenue,Q2,2022-23,0,Quarter
SRCPL,Revenue,Q2,2022-23,54.03,Quarter
SEIS,Revenue,Q2,2022-23,0,Quarter
Port Revenue,Revenue,Q2,2022-23,4457.59,Quarter
Logistic including AALL,Revenue,Q2,2022-23,360.9,Quarter
International Operations,Revenue,Q2,2022-23,181.22,Quarter
Port Development and SEZ,Revenue,Q2,2022-23,193.89,Quarter
Others (KAPL),Revenue,Q2,2022-23,17.2,Quarter
Total Revenue,,Q2,2022-23,5210.8,Quarter
Operating Revenue per MMT,,Q2,2022-23,492.41,Quarter
Operating Revenue per MMT Market,,Q2,2022-23,514.85,Quarter
Port Operating Expenses,Operating Expenses,Q2,2022-23,911.18,Quarter
Dredging Expenses,Operating Expenses,Q2,2022-23,62.2,Quarter
SRCPL Expenses,Operating Expenses,Q2,2022-23,6.39,Quarter
Logistic including AALL Operating Expenses,Operating Expenses,Q2,2022-23,219.54,Quarter
International Operations Expenses,Operating Expenses,Q2,2022-23,85.66,Quarter
Port Development and SEZ,Operating Expenses,Q2,2022-23,128.24,Quarter
Others (KAPL),Operating Expenses,Q2,2022-23,9.56,Quarter
Total Operating Expenses,,Q2,2022-23,233.12,Quarter
Operating Expenses per MMT,,Q2,2022-23,105.24,Quarter
Port Employee Costs,Employee Costs,Q2,2022-23,171.23,Quarter
Logistic including AALL,Employee Costs,Q2,2022-23,12.13,Quarter
International Operations,Employee Costs,Q2,2022-23,47.1,Quarter
Others (KAPL),Employee Costs,Q2,2022-23,2.66,Quarter
Total Employee Costs,,Q2,2022-23,233.12,Quarter
Port Admin Expenses,Admin Expenses ,Q2,2022-23,240.33,Quarter
Logistic including AALL,Admin Expenses ,Q2,2022-23,13.21,Quarter
International Operations,Admin Expenses ,Q2,2022-23,31.5,Quarter
Port Development and SEZ,Admin Expenses ,Q2,2022-23,0,Quarter
Others (KAPL),Admin Expenses ,Q2,2022-23,9.61,Quarter
One Time ,Admin Expenses ,Q2,2022-23,0,Quarter
Total Admin Expenses,,Q2,2022-23,294.65,Quarter
Total  EBIDTA ,,Q2,2022-23,3260.26,Quarter
EBITDA %,,Q2,2022-23,0.63,Quarter
Port EBITDA,,Q2,2022-23,3066.26,Quarter
Margin %,,Q2,2022-23,0.69,Quarter
Domestic Ports EBITDA per MMT,,Q2,2022-23,229.03,Quarter
Other Income,Income,Q2,2022-23,55.98,Quarter
Finance Cost (Net),,Q2,2022-23,194.92,Quarter
Foreign Exch (Gain)/Loss ,,Q2,2022-23,369.65,Quarter
Depreciation,,Q2,2022-23,854.3,Quarter
PBT Before Exceptional & Share of JV,,Q2,2022-23,1897.37,Quarter
Share from JV and associates ,,Q2,2022-23,3.02,Quarter
Profit Before Tax,,Q2,2022-23,1900.39,Quarter
Exceptional Item ,,Q2,2022-23,0,Quarter
Profit Before Tax,,Q2,2022-23,1900.39,Quarter
Current Tax ,,Q2,2022-23,213.47,Quarter
Deferred tax ,,Q2,2022-23,-50.89,Quarter
Reversal of MAT Credit -adoption of new tax regime,,Q2,2022-23,0,Quarter
Total Tax ,,Q2,2022-23,162.58,Quarter
Profit for the year ,,Q2,2022-23,1737.81,Quarter
Port EBITDA Breakup,EBITDA Break Up,Q2,2022-23,3066.26,Quarter
Logistics,EBITDA Break Up,Q2,2022-23,116.02,Quarter
International Operations,EBITDA Break Up,Q2,2022-23,16.96,Quarter
Port Development and SEZ,EBITDA Break Up,Q2,2022-23,65.65,Quarter
Others (KAPL),EBITDA Break Up,Q2,2022-23,-4.63,Quarter
One time  ,EBITDA Break Up,Q2,2022-23,0,Quarter
Total EBIDTA without forex ,EBITDA Break Up,Q2,2022-23,3260.26,Quarter
Total EBIDTA  & One time ,EBITDA Break Up,Q2,2022-23,3260.26,Quarter
Port EBITDA Margin Breakup,EBITDA Margin Breakup,Q2,2022-23,0.69,Quarter
Logistics,EBITDA Margin Breakup,Q2,2022-23,0.32,Quarter
International Operations,EBITDA Margin Breakup,Q2,2022-23,0.09,Quarter
Port Development and SEZ,EBITDA Margin Breakup,Q2,2022-23,0.34,Quarter
Others (KAPL),EBITDA Margin Breakup,Q2,2022-23,-0.27,Quarter
Domestic Cargo (MMT),Volumes,Q2,2023-24,98.12,Quarter
International Cargo (MMT),Volumes,Q2,2023-24,3.1,Quarter
Total Cargo (MMT),Volumes,Q2,2023-24,101.22,Quarter
Port Operating Revenue,Revenue,Q2,2023-24,4868.89,Quarter
Dredging ,Revenue,Q2,2023-24,119.83,Quarter
Trading in APTPL,Revenue,Q2,2023-24,0,Quarter
SRCPL,Revenue,Q2,2023-24,63.28,Quarter
SEIS,Revenue,Q2,2023-24,0,Quarter
Port Revenue,Revenue,Q2,2023-24,5052,Quarter
Logistic including AALL,Revenue,Q2,2023-24,482.74,Quarter
International Operations,Revenue,Q2,2023-24,806.36,Quarter
Port Development and SEZ,Revenue,Q2,2023-24,289.09,Quarter
Others (KAPL),Revenue,Q2,2023-24,16.22,Quarter
Total Revenue,,Q2,2023-24,6646.41,Quarter
